Winner_Name, Winner_Items, HP_Remaining, Opponent_Name, Opponent_Items
Cressida Harrow,Sword,8,Rowena Langley,Shield
Theron Mortimer,Leather Boots,8,Isolde Sanderson,Sword
Leander Gresham,Leather Boots,7,Cassian Farleigh,Sword
Isolde Windsor,Leather Boots,12,Aurelius Bradford,Shield
Lancelot Marlowe,Shield,16,Lucinda Carlton,Sword
Aveline Faraday,Leather Boots,10,Valentin Llewellyn,Sword
Evangeline Warwick,Sword,12,Leocadia Hazelmere,Leather Boots
Isolde Dunstan,Leather Boots,8,Octavian Last Name,Sword
Cedric Sheffield,Leather Boots,13,Aurelia Westcott,Shield
Morgana Stanhope,Shield,10,Gawain Chaucer,Leather Boots
Rosalind Thornton,Sword,9,Cyprian Faraday,Leather Boots
Cassius Ashbourne,Sword,12,Octavius Devereux,Leather Boots
Corbin Dunstan,Leather Boots,13,Carl Westbury,Sword
Amara Channing,Leather Boots,7,Evangeline Bradbury,Sword
Seraphina Claybourne,Shield,17,Daphne Bramblecroft,Sword
Cassian Westminster,Leather Boots,1,Isolde Carlton,Sword
Leocadia Mortimer,Shield,1,Gaius Bradford,Sword
Severus Winslow,Shield,3,Maximus Langdon,Sword
Lancelot Fairfax,Shield,1,Helena Carlton,Leather Boots
Cornelius Wellington,Leather Boots,23,Octavius Fitzwilliam,Shield
Isolde Whitmore,Leather Boots,18,Clementine Kingsley,Shield
Eloise Huntington,Sword,16,Gwendolyn Channing,Shield
Lysander Stratton,Shield,10,Cordelia Chadwick,Leather Boots
Lucinda Fairchild,Leather Boots,5,Remus Channing,Shield
Guinevere Dunstan,Shield,7,Valentin Chaucer,Sword
Seraphina Montgomery,Shield,18,Tiberius Drake,Leather Boots
Aurelia Covington,Leather Boots,1,Severus Pembroke,Sword
Lucian Fitzwilliam,Sword,4,Hadrian Redcliffe,Leather Boots
Cordelia Blackburn,Leather Boots,8,Octavius Winchester,Shield
Corbin Marston,Sword,17,Ginevra Huntington,Leather Boots
Octavian Pendragon,Sword,6,Percival Somerset,Shield
Valerius Hartley,Sword,8,Percival Winchester,Leather Boots
Isadora Barlow,Leather Boots,7,Rowan Winslow,Sword
Ariadne Bradbury,Sword,14,Elowen Redmond,Leather Boots
Lucian Covington,Shield,2,Guinevere Pendleton,Sword
Lyra Chadwick,Shield,4,Lancelot Bannister,Leather Boots
Cedric Chamberlain,Leather Boots,8,Tiberius Harper,Shield
Aurelian Sanderson,Leather Boots,8,Caius Redmond,Sword
Quintus Sheffield,Shield,1,Augustus Llewellyn,Leather Boots
Cornelius Wellington,Shield,8,Titus Dunstan,Leather Boots
Octavius Whitfield,Shield,15,Octavius Pembroke,Leather Boots
Evangeline Blackwood,Shield,21,Gaius Ashbourne,Sword
Clementine Holloway,Shield,4,Rosalind Arundel,Sword
Ginevra Davenport,Shield,13,Evangeline Winchester,Leather Boots
Cyprian Hartley,Shield,10,Helena Clifford,Leather Boots
Gawain Last Name,Shield,7,Althea Windsor,Leather Boots
Cordelia Mortimer,Sword,4,Cordelia Westcott,Leather Boots
Lucius Barlow,Leather Boots,16,Rowena Blackwell,Shield
Marcellus Fairchild,Sword,4,Rosalind Bellingham,Shield
Lysander Chadwick,Leather Boots,14,Theron Chadwick,Sword
Lucian Rutherford,Shield,10,Althea Chadwell,Sword
Cassius Farleigh,Leather Boots,8,Aurelia Sheffield,Sword
Valentin Wycliffe,Shield,6,Tiberius Montgomery,Sword
Lysandra Bellingham,Shield,17,Thaddeus Devereux,Leather Boots
Quintus Witherspoon,Leather Boots,14,Artemis Manning,Shield
Helena Stanhope,Sword,14,Cassian Langdon,Shield
Aurelia Marston,Sword,13,Gawain Llewellyn,Shield
Isolde Beauchamp,Shield,5,Lavinia Dunstan,Sword
Eloise Hawthorne,Sword,9,Perseus Standish,Leather Boots
Seraphina Fitzwilliam,Leather Boots,9,Evangeline Marlowe,Shield
Aurelia Windsor,Sword,1,Severus Montgomery,Shield
Cedric Dunstable,Shield,13,Ariadne Carlyle,Sword
Seraphina Redcliffe,Leather Boots,12,Caius Dunstan,Shield
Septimus Dunstable,Sword,16,Ariadne Chamberlain,Shield
Leander Addington,Shield,11,Titania Wentworth,Leather Boots
Septimus Blackwood,Sword,3,Marcus Sinclair,Leather Boots
Tiberius Monroe,Leather Boots,2,Cordelia Dunstable,Sword
Rosalind Ellis,Sword,29,Orlando Chamberlain,Leather Boots
Leocadia Lancaster,Shield,17,Cedric Faraday,Sword
Artemis Bramblecroft,Leather Boots,2,Rowan Langdon,Sword
Guinevere Monroe,Shield,18,Aurelie Westbury,Leather Boots
Marcellus Meriwether,Sword,6,Gwendolyn Merrick,Shield
Ginevra Whitfield,Shield,4,Cassian Hampton,Sword
Caius Lancaster,Leather Boots,13,Aurelia Monroe,Sword
Isadora Addington,Shield,9,Leocadia Wentworth,Sword
Aurelian Whitfield,Shield,16,Seraphina Ashbourne,Sword
Corin Hampton,Leather Boots,14,Isolde Addington,Sword
Leocadia Westminster,Shield,24,Augustus Montgomery,Sword
Valentin Channing,Leather Boots,19,Artemis Withers,Sword
Cassius Clifford,Sword,13,Quintus Dunstable,Shield
Galen Stratton,Sword,9,Cedric Donovan,Leather Boots
Gaius Meriwether,Sword,2,Clementine Langford,Shield
Guinevere Pembroke,Shield,6,Quintus Fairchild,Sword
Elaine Blackburn,Shield,27,Lucius Blackburn,Sword
Aurelia Fitzwilliam,Leather Boots,2,Aurelius Manning,Shield
Caius Huntington,Leather Boots,15,Remus Davenport,Shield
Quintus Devereux,Sword,17,Tiberius Rutherford,Leather Boots
Felix Standish,Leather Boots,15,Valerius Carlyle,Sword
Aurelia Ellis,Sword,5,Theron Witherspoon,Shield
Helena Marston,Sword,7,Briallen Hastings,Shield
Helena Hazelmere,Leather Boots,14,Briallen Blackburn,Shield
Orlando Carlisle,Sword,7,Junia Addington,Shield
Lucius Cromwell,Shield,5,Octavius Kingsley,Sword
Rosamund Ashbourne,Leather Boots,14,Clementine Holloway,Shield
Cressida Harper,Sword,19,Guinevere Redcliffe,Shield
Aveline Rutherford,Leather Boots,7,Gwendolyn Meriwether,Sword
Corbin Winchester,Leather Boots,1,Evangeline Bradford,Shield
Cassius Wycliffe,Leather Boots,5,Octavian Covington,Sword
Gawain Hampton,Shield,6,First Name Fitzwilliam,Leather Boots
Seraphina Dunstable,Leather Boots,3,Galen Stratton,Shield
Percival Standish,Shield,3,Ariadne Carlyle,Sword
Elaine Drake,Leather Boots,10,Guinevere Fitzgerald,Sword
Rowan Beaumont,Leather Boots,5,Aurelie Merrick,Sword
Hadrian Monroe,Shield,13,Lyra Chaucer,Sword
Helena Sinclair,Sword,6,Cassia Fairchild,Leather Boots
Rosamund Last Name,Leather Boots,12,Gwendolyn Monroe,Shield
Cressida Windsor,Sword,6,Euphemia Forrester,Shield
Cassius Monroe,Shield,6,Beatrice Windsor,Sword
Arabella Ashbourne,Sword,8,Junia Whitaker,Leather Boots
Octavius Stratton,Shield,7,Lucinda Huntington,Sword
Corbin Hampton,Shield,9,Elowen Bannister,Leather Boots
Junia Monroe,Leather Boots,4,Cordelia Langdon,Sword
Euphemia Mortimer,Leather Boots,15,Guinevere Redcliffe,Sword
